id;entry_amount;transaction_entry_type;description;was_proposed;was_posted;was_deleted;was_approved;transaction_account_id
1;32025;CREDIT;Union Bicycle Sedan;true;true;true;true;1
2;24341;DEBIT;Hyundai;false;true;true;true;2
3;2197;CREDIT;female Cab;false;false;false;false;3
4;30816;CREDIT;female;true;false;false;true;4
5;29393;DEBIT;Bedfordshire Legacy Extended;false;true;false;false;5
6;25410;CREDIT;Engineer ubiquitous Field;false;false;false;true;6
7;12949;CREDIT;connect olive invoice;false;true;false;true;7
8;19546;CREDIT;Borders;true;true;false;false;8
9;25619;DEBIT;connecting Practical and;true;true;false;false;9
10;32046;CREDIT;quantify Dibbert East;false;true;false;false;10
